id,region,subregion,country,location,lat,lon,year,depth,severity_code,bleaching_severity,coral_family,coral_species,percentage_affected,mortality_code,mortality,water_temperature,source,country_code
105,Americas,Mesoamerica,Belize,Crawl Caye,16.6186,-88.2309,1998,10ft,2,Medium,Mixed,"Montastrea annularis, sideastrea",,Unknown,,,Coral Listserver,BLZ
106,Americas,Northern Caribbean,Cuba,Moal Boal,22,-78,1998,,1,Low,,,,Unknown,,,NOAA database,CUB
107,Americas,U.S. Caribbean,Florida (USA),Ft. Lauderdale,26.1372,-80.0786,1998,,2,Medium,,,,Unknown,,,NOAA database,USA_FLO
108,Americas,U.S. Caribbean,Florida (USA),Key Largo Dry Rocks,25.1247,-80.308,1998,,1,Low,,,,Unknown,,,Coral Listserver,USA_FLO
109,Americas,U.S. Caribbean,Florida (USA),"The Rocks, Florida Keys",25.1096,-80.36,1998,,3,High,,,,Unknown,,32,Coral Listserver,USA_FLO
110,Americas,U.S. Caribbean,Florida (USA),Dry Tortugas,24.63,-82.86,1998,,2,Medium,,Colpophyllia natans,,Unknown,,32.22,Coral Listserver,USA_FLO
111,Pacific,Micronesia,Palau,Palau,7.2143,134.2269,1998,50ft,3,High,,,,High,1.1,32.22,Coral Listserver,PLW
112,Africa,Eastern Africa,Tanzania,Tanzania,-8.7242,39.5216,1998,,3,High,,,,Unknown,,,Coral Listserver,TZA
113,Asia,Southeast Asia,Philippines,"Honda Bay, Palawan",9.8664,118.78,1998,,3,High,,,,Unknown,,32,Coral Listserver,PHL
114,Asia,Southeast Asia,Philippines,"Port Barton, Palawan",10.484,119.2463,1998,,3,High,,,,Unknown,,32,Coral Listserver,PHL
115,Americas,U.S. Caribbean,Florida (USA),Looe Key Reef,24.58,-81.4,1998,45ft,2,Medium,Mixed,"Acropora, millepora",,Unknown,,,Coral Listserver,USA_FLO
116,Asia,South Asia,Maldives,North Male,4.42,73.5,1998,,3,High,Mixed,"Acropora, porites",,High,90,,Coral Listserver,MDV
117,Asia,South Asia,Maldives,South Male,3.8171,73.4243,1998,,3,High,Mixed,"Acropora, porites",,High,90,,Coral Listserver,MDV
118,Asia,South Asia,Maldives,Ari Atoll,3.8756,72.8433,1998,,3,High,Mixed,"Acropora, porites",,High,90,,Coral Listserver,MDV
119,Asia,South Asia,Maldives,Rasdhoo Atoll,4.2695,73.0096,1998,,3,High,Mixed,"Acropora, porites",,High,90,,Coral Listserver,MDV
120,Asia,Southeast Asia,Philippines,Batangas,13.7163,120.8504,1998,,2,Medium,,,,Unknown,,,NOAA database,PHL
121,Asia,Southeast Asia,Philippines,Marinduque Island,13.2421,121.9158,1998,,3,High,,,,Unknown,,,NOAA database,PHL
122,Americas,Mesoamerica,Belize,Ambergris Caye,18.0048,-87.8997,1998,,3,High,Mixed,"Millepora, scleractinian sp. Porites, montastrea, siderastrea, acropora",,Unknown,,30,Coral Listserver,BLZ
123,Americas,Mesoamerica,Belize,Ranguana Pass,16.21,-88.18,1998,8,3,High,Mixed,"Millepora, scleractinian sp. Porites, montastrea, siderastrea, acropora",,Unknown,,30,Coral Listserver,BLZ
124,Asia,Southeast Asia,Malaysia,"Spratly Islands, Malaysia",8.6366,111.924,1998,,3,High,,,,Unknown,,,"Wilkinson, Clive",MYS
125,Asia,Southeast Asia,Singapore,Singapore,1.2361,103.82,1998,,3,High,,,,Unknown,,,"Wilkinson, Clive",SGP
126,Asia,North and East Asia,Taiwan,"Peghu Islands, Taiwan",23.61,119.5819,1998,,2,Medium,,,,Medium,20,,"Wilkinson, Clive",TWN
127,Asia,Southeast Asia,Thailand,Narathiwat,6.4025,101.9067,1998,,2,Medium,,,,Unknown,,,"Wilkinson, Clive",THA
128,Americas,Mesoamerica,Belize,Glover's Reef Atoll,16.8086,-87.6901,1998,,3,High,Mixed,"Millepora, scleractinian sp. Porites, montastrea, siderastrea, acropora",,Unknown,,30,Coral Listserver,BLZ
129,Americas,Northern Caribbean,Bahamas,Walker's Cay,27.2649,-78.4,1998,,3,High,,,,Unknown,,,Coral Listserver,BHS
130,Americas,Eastern Caribbean,Netherlands Antilles,Bonaire,12.078,-68.2158,1998,25-100ft,2,Medium,Agaricidae,Agaricia lamarcki,,Unknown,,30,NOAA database,ANT
131,Americas,Mesoamerica,Belize,Alligator Caye,17.18,-88.08,1998,,2,Medium,,,,Unknown,,,NOAA database,BLZ
132,Americas,Mesoamerica,Belize,Calabash Caye,17.27,-87.82,1998,,2,Medium,,,,Unknown,,,NOAA database,BLZ
133,Americas,Mesoamerica,Belize,Gallows,17.4911,-88.0462,1998,,2,Medium,,,,Unknown,,,NOAA database,BLZ
134,Americas,Mesoamerica,Belize,Goffs Caye,17.33,-88.03,1998,,2,Medium,,,,Unknown,,,NOAA database,BLZ
135,Americas,Mesoamerica,Belize,Turneffe Atoll,17.5,-87.85,1998,,2,Medium,,,,Unknown,,,NOAA database,BLZ
136,Americas,Mesoamerica,Mexico,"Mahahual, Mexican Carribean",18.8126,-87.3594,1998,,1,Low,Mixed,"Montastrea, porites, agarica",,Unknown,,27.7,NOAA database,MEX
137,Americas,Northern Caribbean,Bahamas,Chubb Cay,25.414,-77.923,1998,,2,Medium,,"scleractinians, hydrocorals, gorgonians",,Unknown,,,NOAA database,BHS
138,Americas,Northern Caribbean,Bahamas,Samana Cay,23.1273,-73.75,1998,,1,Low,,"scleractinians, hydrocorals, gorgonians",,Unknown,,,NOAA database,BHS
139,Americas,Northern Caribbean,Bahamas,San Salvador,23.9994,-74.5575,1998,,2,Medium,,"scleractinians, hydrocorals, gorgonians",,Unknown,,,NOAA database,BHS
140,Americas,Northern Caribbean,Bahamas,Sweetings Cay,26.5914,-77.9041,1998,,2,Medium,,"scleractinians, hydrocorals, gorgonians",,Unknown,,,NOAA database,BHS
141,Americas,Mesoamerica,Belize,Baking Swash,16.79,-87.69,1998,,2,Medium,,,,Unknown,,,NOAA database,BLZ
142,Americas,Mesoamerica,Belize,Long Caye,16.73,-87.77,1998,,2,Medium,,,,Unknown,,,NOAA database,BLZ
143,Americas,Mesoamerica,Belize,shallow patch reefs,16.6155,-88.0669,1998,,2,Medium,,,,Unknown,,,NOAA database,BLZ
144,Americas,Northern Caribbean,Jamaica,Jamaica,17.7848,-77.5627,1998,,2,Medium,,,,Unknown,,,NOAA database,JAM
145,Asia,Southeast Asia,Philippines,Danao Bay,11.1805,123.1675,1998,,3,High,Acroporidae,"staghorn, brain types. Not firecoral.",,Unknown,,,NOAA database,PHL
146,Asia,Southeast Asia,Thailand,Trat,12.152,102.5692,1998,,2,Medium,,,,Unknown,,,"Wilkinson, Clive",THA
147,Asia,Southeast Asia,Thailand,Surat Thani,9.209,99.3818,1998,,2,Medium,,,,Unknown,,,"Wilkinson, Clive",THA
148,Asia,Southeast Asia,Thailand,Chumphon,10.4843,99.24,1998,,2,Medium,,,,Unknown,,,"Wilkinson, Clive",THA
149,Asia,Southeast Asia,Vietnam,Nha Trang,12.2594,109.2098,1998,,3,High,,,,High,70,,"Wilkinson, Clive",VNM
150,Asia,Southeast Asia,Vietnam,Con Dao,8.711,106.6497,1998,15,3,High,Mixed,"table acropora, massive porties",,Unknown,90,,NOAA database,VNM
